company_name,website,sector,contact_name,email,phone,linkedin,location,employee_count,source,ai_score,ai_reason,tag,google_rating
Physio1to1 Physiotherapy and Sports Injury Clinic,http://www.physio1to1.co.uk/,Physiotherapy,,enquiries@physio1to1.co.uk,01483 424470,,"Bridge St, Godalming GU7 1HZ, UK",3,Google Places,9,Physiotherapy practice requiring clinical space for client treatment,clinic-target,4.9/5 (19 reviews)
Guildford and Godalming Physio,http://www.guildfordgodalmingphysio.co.uk/,Physiotherapy,,,07859 981103,,"Surrey Holistic Ltd, Wiggins Yard",,Google Places,9,Physiotherapy requires clinical space and Unit 8 provides a suitable environment.,clinic-target,5/5 (41 reviews)
Bodyset,https://www.bodyset.co.uk/clinic/godalming/,Physiotherapy,,,0330 333 0435,,"106 High St, Godalming GU7 1DW, UK",,Google Places,9,Physiotherapy requires a clinical space for client treatment.,clinic-target,4.9/5 (104 reviews)
Hälsa Chiropractic & Physiotherapy - Godalming Clinic,https://www.halsagroup.co.uk/areas-we-cover/godalming-chiropractor-and-physiotherapist,Chiropractic,Clinic Assistant,clinic.assistant@halsagroup.co.uk,0333 110 7000,,"22-26 High St, Godalming GU7 1AD, UK",,Google Places,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,4.8/5 (144 reviews)
Care For Health,http://care-for-health.co.uk/,Chiropractic,,enquiries@care-for-health.co.uk,01483 425544,,"Station Approach, Godalming GU7 1EU, UK",,Google Places,9,Chiropractic practice requires a clinical space for client consultations and treatments.,clinic-target,4.9/5 (128 reviews)
"Bevan Wilson Physiotherapy - Charterhouse, Godalming",http://www.bevanwilson.co.uk/,Physiotherapy,,,01483 424505,,"Duke's Dr, Godalming GU7 2RS, UK",,Google Places,9,Requires clinical space for physiotherapy services,clinic-target,4.9/5 (9 reviews)
Helen Jermy Chartered Physiotherapist,https://www.helenjphysio.co.uk/,Physiotherapy,,,,,"Hawthorn Rd, Godalming GU7 2NE, UK",,Google Places,10,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (25 reviews)
Surrey Holistic Ltd,https://www.surreyholistic.com/,Chiropractic,,,01483 418103,,"Bridge St, Godalming GU7 1HW, UK",,Google Places,9,Chiropractic requires a clinical space for client consultations and treatments.,clinic-target,5/5 (20 reviews)
Surrey Neuro Physio,http://www.surreyneurophysio.co.uk/,Physiotherapy,,alicesearle@gmail.com,07834 390729,,"14 Duncombe Rd, Godalming GU7 1SF, UK",,Google Places,9,"Physiotherapy requires clinical space, making it highly suitable for Unit 8.",clinic-target,5/5 (1 reviews)
THE PILATES MOVEMENT - Godalming,http://www.thepilatesmovementstudio.co.uk/,Pilates Studio,,,01483 399149,,"79 - 81 High St, Godalming GU7 1AW, UK",,Google Places,8,Small pilates studio suitable for client-facing wellness practices,wellness,5/5 (118 reviews)
